Question Type,Question,Strategy,k,Answer,Sources
Recency,What is the current official position regarding Hamas/Gaza?,HardFilter,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768321380000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2023-12-11.txt', 'debates2025-10-29.txt', 'debates2025-04-02.txt', 'debates2025-01-07.txt', 'debates2024-02-01.txt']"
Recency,What is the current official position regarding Hamas/Gaza?,SoftDecay,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2025-10-29.txt', 'debates2025-04-02.txt', 'debates2025-01-07.txt', 'debates2025-04-02.txt', 'debates2025-01-07.txt']"
Recency,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,Baseline,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2024-01-08.txt', 'debates2024-01-25.txt', 'debates2024-12-06.txt', 'debates2024-01-08.txt', 'debates2023-12-14.txt']"
Recency,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,HardFilter,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2023-12-14.txt', 'debates2023-12-13.txt', 'debates2023-07-20.txt', 'debates2023-11-23.txt', 'debates2023-09-04.txt']"
Recency,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,SoftDecay,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2023-12-14.txt', 'debates2023-12-13.txt', 'debates2023-07-20.txt', 'debates2023-11-23.txt', 'debates2023-09-04.txt']"
Recency,What is the most recent statement regarding climate change policy?,Baseline,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2023-11-28.txt', 'debates2023-11-28.txt', 'debates2023-09-05.txt', 'debates2024-11-12.txt', 'debates2023-11-28.txt']"
Recency,What is the most recent statement regarding climate change policy?,HardFilter,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2023-11-28.txt', 'debates2023-11-28.txt', 'debates2023-09-05.txt', 'debates2024-11-12.txt', 'debates2023-11-28.txt']"
Recency,What is the most recent statement regarding climate change policy?,SoftDecay,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2025-10-14.txt', 'debates2025-10-14.txt', 'debates2023-11-28.txt', 'debates2025-07-14.txt', 'debates2025-07-15.txt']"
Evolution,How did the Prime Minister/President's rhetoric regarding the war between Israel and Hamas/Gaza develop between his first and last speech?,Baseline,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2023-10-16.txt', 'debates2024-01-08.txt', 'debates2024-04-15.txt', 'debates2023-10-16.txt', 'debates2025-09-10.txt']"
Evolution,How did the Prime Minister/President's rhetoric regarding the war between Israel and Hamas/Gaza develop between his first and last speech?,HardFilter,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', '2025-10-28.txt', '2025-10-29.txt', '2025-10-29.txt', '2025-10-31.txt', '2025-10-31.txt']"
Evolution,How did the Prime Minister/President's rhetoric regarding the war between Israel and Hamas/Gaza develop between his first and last speech?,SoftDecay,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', '2025-10-28.txt', '2025-10-29.txt', '2025-10-29.txt', '2025-10-31.txt', '2025-10-31.txt']"
Evolution,How has the discussion about the cost of living evolved from 2023 to 2025?,Baseline,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2024-05-07.txt', 'debates2024-05-07.txt', 'debates2025-01-17.txt', 'debates2024-03-13.txt', 'debates2023-11-28.txt']"
Evolution,How has the discussion about the cost of living evolved from 2023 to 2025?,HardFilter,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', '2025-10-28.txt', '2025-10-29.txt', '2025-10-29.txt', '2025-10-31.txt', '2025-10-31.txt']"
Evolution,How has the discussion about the cost of living evolved from 2023 to 2025?,SoftDecay,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', '2025-10-28.txt', '2025-10-29.txt', '2025-10-29.txt', '2025-10-31.txt', '2025-10-31.txt']"
Conflict,Who is the Minister of Defense/Secretary of Defense?,Baseline,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2024-02-26.txt', '2024-12-09.txt', 'debates2024-09-10.txt', '2025-05-07.txt', 'debates2024-03-25.txt']"
Conflict,Who is the Minister of Defense/Secretary of Defense?,HardFilter,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768322040000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2024-02-26.txt', '2024-12-09.txt', 'debates2024-09-10.txt', '2025-05-07.txt', 'debates2024-03-25.txt']"
Conflict,Who is the Minister of Defense/Secretary of Defense?,SoftDecay,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['2025-05-07.txt', 'debates2025-01-27.txt', '2025-10-08.txt', 'debates2025-06-25.txt', 'debates2025-05-19.txt']"
Conflict,Who was the Prime Minister in early 2023 compared to late 2024?,Baseline,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768322160000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2024-10-23.txt', 'debates2024-09-11.txt', 'debates2025-02-26.txt', 'debates2025-10-15.txt', 'debates2023-11-21.txt']"
Conflict,Who was the Prime Minister in early 2023 compared to late 2024?,HardFilter,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768322220000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2023-11-21.txt', 'debates2023-11-23.txt', 'debates2023-10-25.txt', 'debates2023-09-06.txt', 'debates2023-09-07.txt']"
Conflict,Who was the Prime Minister in early 2023 compared to late 2024?,SoftDecay,5,"Error: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1768348800000'}, 'provider_name': None}}, 'user_id': 'user_37wmmXbW9gsuOGn2YCBabjZK00z'}","['debates2023-11-21.txt', 'debates2023-11-23.txt', 'debates2023-10-25.txt', 'debates2023-09-06.txt', 'debates2023-09-07.txt']"
